tweets_Berlin__Germany_08,tweets_Berlin__Germany_42,foursquare_Berlin__Germany_04,foursquare_Berlin__Germany_07,foursquare_Berlin__Germany_08,foursquare_Berlin__Germany_10,foursquare_Berlin__Germany_11,foursquare_Berlin__Germany_40,foursquare_Berlin__Germany_43,foursquare_Berlin__Germany_50
COFFEE,DRINKS,BURGER_FOOD,SERVICE,ITALIAN_CUISINE,BREAKFAST,JAPANESE_CUISINE,BEER,GERMAN_CUISINE,LEBANESE_CUISINE
coffee,drink,burger,slow_service,pizza,breakfast,sushi,beer,schnitzel,falafel
morning,genuine_aloe,fry,friendly,cheese,egg,fish,german,wiener_schnitzel,hummus
milk,vera_drink,cheese,rude,salami,pancake,roll,selection,potato,falafel_plate
coffee_shop,beer,chili,fast_service,rucola,buffet,rice,craft_beer,kasespatzle,shawarma
large,health_drink,veggie,poor,tiramisu,english_breakfast,sashimi,local,spatzle,halloumi
mondrian,energy_drink,bacon,quick,authentic_italian,croissant,sushi_sashimi,bavarian,goulash,falafel_halloumi
coffee_machine,aloe_vera,shiso_burger,waiter,gorgonzola,fruit,tempura,dark,german_tapa,falafel_shawarma
break,wine,bulgogi_burger,attentive,mozzarella,homemade,miso,knuckle,typical_german,baba
black,cocktail,american,unfriendly,calzone,irish,authentic_japanese,berliner,apfelstrudel,pita
balzac_coffee,alcohol,wagyu,self_service,pesto,american,sake,biergarten,sausage,lebanese
