tweets_Barcelona__Spain_19,foursquare_Barcelona__Spain_05,foursquare_Barcelona__Spain_10,foursquare_Barcelona__Spain_15,foursquare_Barcelona__Spain_24,foursquare_Barcelona__Spain_33,foursquare_Barcelona__Spain_35,foursquare_Barcelona__Spain_38,foursquare_Barcelona__Spain_39,foursquare_Barcelona__Spain_09
COFFEE,FOOD_OPTIONS,SERVICE,VALUE_FOR_MONEY,SEAFOOD,LOCATION,BRUNCH,WINE,JAPANESE_CUISINE,SPANISH_CUISINE
coffee,mexican,staff,price,seafood,view,brunch,wine,sushi,paella
shop,vegetarian,friendly_staff,reasonable_price,seafood_platter,terrace,juice,selection,japanese,rice
morning,indian,helpful,high,local,beautiful,sunday,glass,roll,fish
break,catalan,kind,fair_price,rice,location,pancake,house_wine,sashimi,lobster
cafe,spanish,rude,affordable_price,octopus,beach,sunday_brunch,bottle,tuna,lobster_paella
coffee_break,japanese,attentive,range,squid,city,vegetarian,glass_wine,variety,traditional
coffee_shop,thai,owner,decent,lobster,view_beach,weekend,local,tempura,catalana
breakfast,italian,lovely_staff,variety,mixed,port,cake,wine_list,rice,fideua
coffee_bean,chinese,professional,huge,mussel,view_port,french_toast,white_wine,sushi_sashimi,ceviche
starbucks,vegan,polite,euro,soup,romantic,benedict,cava,fusion,gazpacho
